experiment,postproductivity
0,159
0,713
0,611
0,38
0,667
0,51
0,50
0,295
0,104
0,1164
0,903
0,0
0,175
0,615
0,0
0,0
0,456
0,78
0,1305
0,18
0,96
0,1539
0,108
0,156
0,127
0,921
0,113
0,0
0,1238
0,308
0,116
0,43
0,377
0,160
0,0
0,325
0,438
0,277
0,0
0,359
0,913
0,524
0,296
0,1082
0,223
0,45
0,230
0,355
0,1539
0,428
0,7
0,7
0,16
0,30
0,417
0,321
0,56
0,65
0,148
0,170
0,0
0,14
0,32
0,0
0,335
0,5
0,0
0,252
0,0
0,2
0,1745
0,278
0,87
0,119
0,1275
0,0
0,288
0,215
0,254
0,18
0,249
0,0
0,783
0,543
0,129
0,29
0,104
0,799
0,245
0,4
0,111
0,986
0,38
0,0
0,0
0,4
0,170
0,438
0,929
0,141
1,4
1,866
1,654
1,361
1,263
1,37
1,170
1,1651
1,93
1,1232
1,646
1,740
1,0
1,486
1,0
1,1211
1,210
1,82
1,145
1,1087
1,551
1,285
1,507
1,0
1,954
1,442
1,333
1,9
1,628
1,898
1,758
1,166
1,141
1,187
1,1328
1,984
1,140
1,337
1,1000
1,521
1,762
1,104
1,3
1,160
1,984
1,206
1,61
1,123
1,1464
1,647
1,379
1,180
1,52
1,58
1,994
1,607
1,7
1,277
1,857
1,2054
1,831
1,258
1,16
1,0
1,2
1,13
1,215
1,380
1,378
1,35
1,105
1,512
1,273
1,971
1,232
1,151
1,467
1,275
1,1405
1,438
1,556
1,286
1,2344
1,901
1,135
1,420
1,232
1,659
1,732
1,0
1,921
1,546
1,677
1,10
1,443
1,428
1,128
1,72
1,480
1,496
