"diameter","storm","status"
9,0.024212,"standing"
11,0.0305947,"standing"
9,0.0305947,"standing"
9,0.0341815,"standing"
5,0.0341815,"standing"
8,0.0341815,"standing"
8,0.0341815,"standing"
6,0.0341815,"standing"
8,0.0341815,"standing"
5,0.0341815,"standing"
22,0.0345653,"standing"
6,0.0461334,"standing"
8,0.0514511,"standing"
8,0.054777,"standing"
9,0.054777,"standing"
10,0.054777,"standing"
7,0.0552361,"standing"
14,0.0575282,"standing"
15,0.0575282,"standing"
17,0.0575282,"standing"
12,0.0575282,"standing"
8,0.0687957,"standing"
14,0.0693424,"standing"
12,0.0693424,"standing"
18,0.071072,"standing"
13,0.071072,"standing"
8,0.0726807,"standing"
7,0.0726807,"standing"
6,0.0730598,"standing"
5,0.0730598,"standing"
9,0.0730598,"standing"
14,0.0773118,"standing"
11,0.0805133,"standing"
7,0.0818451,"standing"
6,0.0818451,"standing"
5,0.0846147,"standing"
6,0.0846147,"standing"
5,0.0846147,"standing"
5,0.0846147,"standing"
10,0.084997,"standing"
5,0.0879988,"standing"
6,0.0879988,"standing"
6,0.0879988,"standing"
5,0.0879988,"standing"
5,0.0879988,"standing"
8,0.0879988,"standing"
16,0.089435,"standing"
10,0.089435,"standing"
12,0.089435,"fallen"
5,0.0894688,"standing"
9,0.0914889,"standing"
12,0.0914889,"standing"
5,0.0914889,"standing"
10,0.0914889,"standing"
7,0.0914889,"standing"
5,0.0943459,"standing"
7,0.0943459,"standing"
5,0.0943459,"standing"
14,0.0958845,"standing"
5,0.0965822,"standing"
17,0.0994145,"standing"
5,0.0995897,"standing"
11,0.0995897,"standing"
6,0.0998312,"standing"
7,0.0998312,"standing"
7,0.0998312,"standing"
13,0.10254,"fallen"
25,0.103689,"standing"
7,0.105993,"standing"
8,0.105993,"standing"
14,0.107644,"standing"
19,0.107769,"standing"
17,0.107769,"standing"
14,0.114878,"standing"
13,0.114878,"fallen"
6,0.114878,"standing"
6,0.115634,"standing"
6,0.115634,"standing"
8,0.118361,"standing"
22,0.120054,"fallen"
6,0.120534,"standing"
9,0.120534,"standing"
11,0.120629,"standing"
6,0.128477,"standing"
7,0.12938,"standing"
5,0.12938,"standing"
7,0.12938,"standing"
7,0.13163,"standing"
11,0.131718,"standing"
11,0.132051,"standing"
13,0.132093,"standing"
10,0.132585,"standing"
10,0.132585,"standing"
7,0.135751,"fallen"
9,0.135751,"fallen"
5,0.138033,"standing"
5,0.138033,"standing"
5,0.138033,"standing"
6,0.144217,"standing"
6,0.145446,"standing"
9,0.145446,"standing"
12,0.146615,"fallen"
8,0.146615,"fallen"
14,0.148025,"standing"
11,0.148025,"standing"
13,0.148025,"standing"
9,0.148025,"standing"
6,0.149973,"standing"
5,0.149973,"standing"
9,0.152714,"standing"
6,0.152714,"standing"
5,0.163796,"standing"
14,0.163796,"standing"
5,0.163796,"standing"
10,0.164513,"standing"
10,0.164513,"standing"
16,0.173383,"standing"
7,0.173383,"standing"
10,0.173383,"standing"
8,0.174111,"fallen"
8,0.174111,"fallen"
7,0.174111,"fallen"
10,0.174111,"fallen"
6,0.174111,"standing"
9,0.174869,"standing"
7,0.176954,"standing"
5,0.18105,"fallen"
5,0.18105,"standing"
7,0.18105,"fallen"
5,0.18105,"standing"
6,0.182465,"standing"
5,0.182465,"standing"
5,0.182465,"standing"
5,0.182465,"standing"
7,0.182465,"standing"
6,0.183632,"standing"
6,0.183632,"standing"
6,0.183632,"standing"
7,0.184542,"standing"
6,0.184542,"standing"
5,0.191521,"standing"
12,0.192293,"standing"
7,0.192509,"standing"
14,0.197618,"standing"
8,0.197618,"standing"
10,0.197618,"standing"
16,0.197618,"standing"
11,0.197618,"standing"
14,0.198293,"fallen"
14,0.198293,"standing"
10,0.198293,"fallen"
10,0.199172,"standing"
21,0.20332,"fallen"
8,0.204132,"standing"
10,0.206243,"standing"
6,0.207769,"standing"
6,0.207769,"standing"
9,0.208116,"standing"
9,0.208116,"standing"
7,0.210034,"fallen"
7,0.210034,"fallen"
9,0.214047,"standing"
8,0.214047,"standing"
7,0.214047,"standing"
7,0.214931,"standing"
7,0.214931,"standing"
5,0.215521,"standing"
7,0.215521,"standing"
5,0.215521,"fallen"
5,0.215521,"standing"
6,0.215521,"standing"
5,0.215521,"standing"
11,0.215521,"standing"
5,0.215521,"standing"
7,0.215975,"standing"
8,0.215975,"standing"
10,0.215975,"standing"
5,0.216023,"standing"
7,0.219577,"fallen"
5,0.219577,"fallen"
6,0.219577,"fallen"
8,0.219577,"standing"
5,0.219577,"standing"
7,0.219577,"standing"
11,0.219577,"fallen"
11,0.219577,"fallen"
10,0.219577,"fallen"
11,0.219577,"fallen"
8,0.219577,"standing"
15,0.220787,"fallen"
8,0.224639,"standing"
6,0.224639,"fallen"
6,0.224701,"standing"
6,0.224701,"standing"
7,0.224701,"standing"
6,0.22813,"standing"
5,0.22813,"standing"
9,0.230694,"standing"
12,0.230694,"fallen"
7,0.234421,"standing"
6,0.235722,"standing"
16,0.235722,"standing"
6,0.235989,"standing"
6,0.235989,"standing"
16,0.237342,"fallen"
8,0.237342,"standing"
7,0.249347,"standing"
29,0.251911,"standing"
6,0.253849,"standing"
6,0.253849,"standing"
9,0.253849,"standing"
8,0.256767,"standing"
7,0.259414,"standing"
7,0.259414,"standing"
5,0.259414,"standing"
7,0.259414,"standing"
6,0.259414,"standing"
8,0.259414,"standing"
9,0.259414,"standing"
10,0.259414,"standing"
9,0.265896,"fallen"
7,0.268259,"fallen"
6,0.269299,"fallen"
8,0.269299,"standing"
8,0.269299,"standing"
6,0.269299,"standing"
7,0.269299,"standing"
8,0.269299,"standing"
20,0.273593,"standing"
7,0.274106,"standing"
8,0.274106,"standing"
6,0.274106,"standing"
7,0.274106,"standing"
6,0.274106,"standing"
14,0.274106,"fallen"
10,0.274106,"standing"
10,0.274106,"standing"
12,0.275455,"standing"
6,0.279653,"standing"
9,0.281498,"standing"
5,0.281498,"standing"
5,0.281498,"standing"
11,0.281793,"fallen"
6,0.283471,"standing"
5,0.283471,"standing"
7,0.283471,"standing"
6,0.283471,"standing"
6,0.283471,"standing"
5,0.283471,"standing"
8,0.283471,"standing"
7,0.283471,"standing"
8,0.283471,"standing"
6,0.283471,"standing"
14,0.284814,"fallen"
8,0.290151,"standing"
6,0.290151,"standing"
8,0.290557,"standing"
12,0.293629,"standing"
10,0.294195,"fallen"
12,0.300321,"standing"
7,0.300321,"standing"
7,0.300321,"standing"
10,0.300321,"standing"
8,0.303317,"standing"
7,0.303317,"fallen"
5,0.303317,"standing"
6,0.30554,"standing"
7,0.305741,"fallen"
13,0.305741,"fallen"
8,0.306005,"standing"
21,0.307181,"fallen"
8,0.307181,"fallen"
8,0.308675,"standing"
8,0.308675,"standing"
16,0.309179,"standing"
9,0.310713,"standing"
14,0.310713,"fallen"
6,0.313393,"standing"
9,0.313963,"standing"
7.5,0.320563,"fallen"
9.5,0.320563,"fallen"
13,0.321258,"standing"
13,0.321258,"fallen"
13,0.321258,"standing"
10,0.321258,"standing"
10,0.323477,"fallen"
9,0.323477,"fallen"
14,0.327542,"standing"
15,0.327542,"fallen"
7,0.329682,"fallen"
16,0.330644,"fallen"
15,0.330644,"fallen"
15,0.332474,"fallen"
9,0.333407,"fallen"
7,0.333407,"standing"
8,0.333407,"fallen"
5,0.333407,"standing"
23,0.334151,"fallen"
5,0.335679,"standing"
8,0.336481,"standing"
9,0.336481,"fallen"
11,0.336481,"standing"
13,0.336481,"fallen"
7,0.338376,"standing"
7,0.338376,"standing"
6,0.338376,"standing"
5,0.338376,"standing"
6,0.338376,"standing"
6,0.338376,"standing"
7,0.338376,"standing"
5,0.338376,"standing"
5,0.338376,"standing"
9,0.338376,"standing"
5,0.338376,"fallen"
10,0.338376,"fallen"
6,0.338376,"standing"
6,0.341799,"standing"
7,0.341799,"standing"
13,0.342915,"fallen"
5,0.344517,"standing"
6,0.344517,"standing"
6,0.35246,"standing"
6,0.35246,"standing"
5,0.35246,"standing"
6,0.354582,"standing"
5,0.354582,"standing"
18,0.356787,"fallen"
10,0.356787,"standing"
8,0.356787,"standing"
7,0.356787,"standing"
5,0.35738,"standing"
5,0.35738,"standing"
8,0.358713,"standing"
15,0.359444,"fallen"
12,0.36057,"standing"
13,0.36057,"standing"
8,0.36291,"standing"
8,0.363574,"standing"
7,0.363574,"standing"
10,0.364261,"fallen"
5,0.364261,"standing"
7,0.364261,"fallen"
10,0.366172,"standing"
7,0.366172,"standing"
7,0.366172,"standing"
6,0.366172,"standing"
5,0.366172,"standing"
6,0.366172,"standing"
7,0.366172,"standing"
13,0.367316,"fallen"
17,0.36735,"fallen"
12,0.367463,"fallen"
13,0.375813,"fallen"
11,0.376297,"fallen"
9,0.378216,"standing"
7,0.379872,"standing"
7,0.379872,"standing"
5,0.379872,"standing"
7,0.379872,"standing"
7,0.379872,"standing"
5,0.379872,"standing"
5,0.379872,"standing"
5,0.379872,"standing"
7,0.379872,"standing"
7,0.379872,"standing"
5,0.379872,"standing"
6,0.380303,"standing"
11,0.381465,"fallen"
8,0.381702,"standing"
7,0.381702,"standing"
10,0.38226,"standing"
9,0.38226,"standing"
6,0.382829,"standing"
7,0.382829,"standing"
29,0.38498,"fallen"
8,0.386872,"standing"
5,0.386872,"standing"
7,0.386872,"standing"
8,0.386872,"standing"
9,0.386872,"standing"
13,0.391278,"fallen"
15,0.391278,"fallen"
13,0.391801,"fallen"
15,0.391801,"fallen"
10,0.391801,"fallen"
12,0.391801,"fallen"
17,0.391801,"fallen"
8,0.394898,"standing"
6,0.394898,"standing"
6,0.394898,"standing"
5,0.394898,"standing"
13,0.398671,"standing"
12,0.400867,"standing"
11,0.400867,"standing"
14,0.400867,"standing"
7,0.400867,"standing"
5,0.402528,"standing"
7,0.402528,"standing"
7,0.402528,"standing"
6,0.402528,"standing"
7,0.403794,"fallen"
8,0.404768,"standing"
7,0.404833,"standing"
11,0.404933,"standing"
8,0.406581,"fallen"
12,0.406613,"fallen"
8,0.406613,"standing"
15,0.406781,"fallen"
6,0.406781,"fallen"
10,0.406781,"fallen"
8,0.406781,"fallen"
10,0.406781,"fallen"
8,0.416345,"standing"
7,0.420598,"standing"
7,0.420598,"standing"
8,0.425459,"standing"
10,0.425669,"fallen"
7,0.429114,"standing"
11.5,0.429305,"fallen"
13.5,0.429305,"fallen"
15,0.434976,"fallen"
10,0.435212,"standing"
7,0.435212,"standing"
8,0.435212,"standing"
14,0.441635,"standing"
8,0.44398,"standing"
11,0.448048,"standing"
16,0.448048,"fallen"
7,0.448048,"standing"
10,0.449627,"standing"
8,0.450835,"fallen"
5,0.450835,"standing"
7,0.450835,"fallen"
9,0.450835,"standing"
7,0.455902,"fallen"
17,0.459406,"fallen"
17,0.466155,"fallen"
5,0.466155,"fallen"
5,0.466155,"standing"
6,0.466155,"standing"
9,0.467301,"fallen"
13,0.467301,"fallen"
10,0.467301,"fallen"
5,0.469594,"standing"
20,0.469594,"fallen"
13,0.469871,"fallen"
9,0.469987,"fallen"
22,0.475169,"fallen"
8,0.476106,"standing"
9,0.476106,"standing"
7,0.476106,"fallen"
5,0.478474,"standing"
10,0.478474,"standing"
10,0.480554,"fallen"
10,0.481444,"standing"
6,0.481444,"standing"
8,0.481444,"standing"
8,0.481444,"standing"
11,0.488089,"fallen"
18,0.488623,"fallen"
19.5,0.491077,"fallen"
20,0.491077,"fallen"
13.5,0.491077,"fallen"
14,0.491077,"fallen"
16,0.491077,"standing"
9,0.500578,"standing"
8,0.500887,"fallen"
6,0.500887,"standing"
6,0.501032,"standing"
7,0.501032,"standing"
12,0.501032,"fallen"
13,0.502487,"fallen"
14,0.503722,"fallen"
17,0.508672,"standing"
12,0.508672,"fallen"
9,0.511376,"standing"
5,0.511376,"standing"
10,0.512248,"fallen"
10,0.51581,"fallen"
16,0.522453,"fallen"
7,0.522657,"standing"
12,0.525126,"fallen"
17,0.533063,"fallen"
7,0.534748,"standing"
5,0.534748,"standing"
5,0.534748,"standing"
5,0.534748,"standing"
6,0.536359,"standing"
6,0.536359,"standing"
7,0.536359,"standing"
6,0.536359,"standing"
9.5,0.545287,"standing"
20,0.548117,"standing"
13,0.551895,"fallen"
8,0.553382,"standing"
28,0.553944,"fallen"
5,0.55502,"standing"
5,0.55502,"standing"
17,0.558492,"fallen"
24,0.558492,"fallen"
7,0.560545,"standing"
9,0.560545,"standing"
8,0.560545,"standing"
8,0.560545,"standing"
9,0.560545,"standing"
10,0.560545,"standing"
6,0.560545,"standing"
5,0.560545,"standing"
6,0.560545,"standing"
5,0.560545,"standing"
7,0.560545,"standing"
5,0.560545,"standing"
8,0.560623,"fallen"
13,0.561226,"fallen"
28,0.565152,"fallen"
11.5,0.579711,"fallen"
11.5,0.579711,"fallen"
6,0.579787,"standing"
5,0.579787,"standing"
6,0.581735,"fallen"
12,0.582118,"fallen"
11,0.582118,"fallen"
15,0.587466,"fallen"
9,0.592865,"standing"
19,0.593677,"fallen"
11,0.599994,"fallen"
16,0.602545,"fallen"
14,0.602837,"fallen"
11,0.6045,"fallen"
22,0.60646,"fallen"
11,0.609595,"fallen"
15,0.612655,"fallen"
6,0.625261,"fallen"
6,0.625261,"standing"
6,0.625261,"standing"
8,0.625833,"fallen"
6,0.625901,"standing"
6,0.625901,"standing"
9,0.625901,"standing"
25,0.63175,"fallen"
11,0.633624,"fallen"
9,0.633624,"fallen"
