date,gflu,source1,cflu,source2,dif,pdif,sweek,swweekly,week,lcflu,lcflu3,lcflu4,lcflu5,dif_2,dif_3,dif2,absdif,s3dlscflu09,s3difdcflu09,s3difdcflu092,s3adifdcflu09,s3degflu09,s3difdeflu09,s3difdeflu092,s3adifdeflu09,s2dlscflu09,s2difdcflu09,s2difdcflu092,s2adifdcflu09,s1dlscflu09,s1difdcflu09,s1difdcflu092,s1adifdcflu09,dlscflu09,difdcflu09,difdcflu092,adifdcflu09,s2degflu09,s2difdeflu09,s2difdeflu092,s2adifdeflu09,s1degflu09,s1difdeflu09,s1difdeflu092,s1adifdeflu09,degflu09,difdeflu09,difdeflu092,adifdeflu09,dlscflul3,difdcflul3,difdcflul32,adifdcflul3,degflul3,difdeflul3,difdeflul32,adifdeflul3,r1c1neg,r1c1pos,r1c2neg,r1c2pos,r1c3neg,r1c3pos,r1c4neg,r1c4pos,r1c5neg,r1c5pos,r1c6neg,r1c6pos,r1c7neg,r1c7pos,r1c8neg,r1c8pos,r2c1neg,r2c1pos,r2c2neg,r2c2pos,r2c3neg,r2c3pos,r2c4neg,r2c4pos,r2c5neg,r2c5pos,r2c6neg,r2c6pos,r2c7neg,r2c7pos,r3c1neg,r3c1pos,r3c2neg,r3c2pos,r3c3neg,r3c3pos,r3c4neg,r3c4pos,r3c5neg,r3c5pos,r3c6neg,r3c6pos,r4c1neg,r4c1pos,r4c2neg,r4c2pos,r4c3neg,r4c3pos,r4c4neg,r4c4pos,r4c5neg,r4c5pos,r5c1neg,r5c1pos,r5c2neg,r5c2pos,r5c3neg,r5c3pos,r5c4neg,r5c4pos,r6c1neg,r6c1pos,r6c2neg,r6c2pos,r6c3neg,r6c3pos,r7c1neg,r7c1pos,r7c2neg,r7c2pos,r8c1neg,r8c1pos,cdifdeflu09,oos
9/28/03,0.90200001,Google Flu,0.88402122,CDC,0.017978787,0.020337507,28-Sep-03,2003w39,39,,,,,,,0.000323237,0.017978787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/03,0.95200002,Google Flu,1.0277305,CDC,-0.075730443,-0.073687069,5-Oct-03,2003w40,40,,,,,,,0.0057351,0.075730443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/03,1.092,Google Flu,1.2829636,CDC,-0.19096363,-0.1488457,12-Oct-03,2003w41,41,0.88402122,,,,0.017978787,,0.036467105,0.19096363,1.013074,-0.26988959,0.072840393,0.26988959,1.1097094,-0.17325425,0.030017035,0.17325425,1.140105,-0.14285862,0.020408586,0.14285862,,,,,,,,,1.0881126,-0.19485104,0.037966929,0.19485104,1.0910977,-0.19186592,0.036812533,0.19186592,,,,,,,,,,,,,0.078925967,-0.46085322,-0.017709374,-0.36421788,-0.048105001,-0.33382225,,,,,0.003887415,-0.38581467,0.000902295,-0.38282955,,,-0.096635342,-0.44314384,-0.12703097,-0.41274822,,,,,-0.075038552,-0.46474063,-0.078023672,-0.46175551,,,-0.030395627,-0.31611288,,,,,0.021596789,-0.36810529,0.01861167,-0.36512017,,,,,,,0.051992416,-0.33770967,0.049007297,-0.33472455,,,,,,,,,,,,,,,,,-0.00298512,-0.38671696,,,,,,
10/19/03,1.209,Google Flu,1.3266053,CDC,-0.11760533,-0.088651329,19-Oct-03,2003w42,42,1.0277305,0.88402122,,,-0.075730443,0.017978787,0.013831013,0.11760533,1.135569,-0.19103634,0.036494885,0.19103634,1.2885441,-0.038061261,0.00144866,0.038061261,1.1847259,-0.14187944,0.020129776,0.14187944,1.1634052,-0.16320014,0.026634285,0.16320014,,,,,1.1911877,-0.13541758,0.01833792,0.13541758,1.192673,-0.13393235,0.017937874,0.13393235,1.1912658,-0.1353395,0.018316779,0.1353395,,,,,,,,,0.073431015,-0.30864167,-0.079544067,-0.15566659,0.024274111,-0.25948477,0.045594811,-0.28080547,,,0.017812252,-0.25302291,0.016327024,-0.25153768,0.01773417,-0.25294483,-0.15297508,-0.2290976,-0.049156904,-0.33291578,-0.027836204,-0.35423648,,,-0.055618763,-0.32645392,-0.057103992,-0.3249687,-0.055696845,-0.32637584,0.10381818,-0.1799407,0.12513888,-0.2012614,,,0.097356319,-0.17347884,0.095871091,-0.17199361,0.097278237,-0.17340076,0.021320701,-0.30507958,,,-0.006461859,-0.27729702,-0.007947087,-0.27581179,-0.006539941,-0.27721894,,,-0.027782559,-0.29861772,-0.029267788,-0.29713249,-0.027860641,-0.29853964,,,,,,,-0.001485229,-0.26934993,-7.80821E-05,-0.27075708,0.001407147,-0.26927185,0.17635658,
10/26/03,1.249,Google Flu,1.7730401,CDC,-0.5240401,-0.29556021,26-Oct-03,2003w43,43,1.2829636,1.0277305,0.88402122,,-0.19096363,-0.075730443,0.27461803,0.5240401,1.3531247,-0.41991532,0.17632887,0.41991532,1.4055339,-0.36750615,0.13506077,0.36750615,1.4516438,-0.32139623,0.10329553,0.32139623,1.5883167,-0.18472338,0.034122728,0.18472338,1.5673124,-0.2057277,0.042323884,0.2057277,1.3808336,-0.39220643,0.15382588,0.39220643,1.3871137,-0.38592637,0.14893916,0.38592637,1.3894699,-0.38357019,0.14712609,0.38357019,,,,,1.23937,-0.53367007,0.28480375,0.53367007,-0.10412478,-0.94395542,-0.15653396,-0.89154625,-0.20264387,-0.84543633,-0.33931673,-0.70876348,-0.31831241,-0.7297678,-0.13183367,-0.91624653,-0.13811374,-0.90996647,-0.14046991,-0.9076103,-0.052409172,-0.78742146,-0.098519087,-0.74131155,-0.23519194,-0.6046387,-0.21418762,-0.62564301,-0.027708888,-0.81212175,-0.033988953,-0.80584168,-0.036345124,-0.80348551,-0.046109915,-0.68890238,-0.18278277,-0.55222952,-0.16177845,-0.57323384,0.024700284,-0.75971258,0.018420219,-0.75343251,0.016064048,-0.75107634,-0.13667285,-0.50611961,-0.11566854,-0.52712393,0.070810199,-0.71360266,0.064530134,-0.7073226,0.062173963,-0.70496643,0.021004319,-0.39045107,0.20748305,-0.57692981,0.20120299,-0.57064974,0.19884682,-0.56829357,0.18647873,-0.59793413,0.18019867,-0.59165406,0.1778425,-0.58929789,-0.006280065,-0.7781328,-0.008636236,-0.77577662,-0.002356172,-0.76949656,0.056201551,
11/2/03,1.374,Google Flu,2.4381361,CDC,-1.0641361,-0.43645477,2-Nov-03,2003w44,44,1.3266053,1.2829636,1.0277305,0.88402122,-0.11760533,-0.19096363,1.1323857,1.0641361,1.390324,-1.0478121,1.0979102,1.0478121,1.4801418,-0.95799434,0.91775316,0.95799434,1.6269075,-0.81122863,0.6580919,0.81122863,1.6005559,-0.8375802,0.70154059,0.8375802,1.6329869,-0.8051492,0.64826524,0.8051492,1.5374633,-0.90067279,0.81121147,0.90067279,1.5437169,-0.89441919,0.79998571,0.89441919,1.5388522,-0.89928389,0.80871153,0.89928389,1.7501801,-0.68795598,0.47328341,0.68795598,1.4860259,-0.95211017,0.90651375,0.95211017,-0.016324043,-2.1119483,-0.10614181,-2.0221305,-0.25290751,-1.8753648,-0.22655594,-1.9017164,-0.25898695,-1.8692853,-0.16346335,-1.9648089,-0.16971695,-1.9585553,-0.16485226,-1.96342,-0.089817762,-2.0058064,-0.23658347,-1.8590407,-0.2102319,-1.8853923,-0.24266291,-1.8529613,-0.14713931,-1.9484849,-0.15339291,-1.9422313,-0.14852822,-1.947096,-0.14676571,-1.769223,-0.12041414,-1.7955745,-0.15284514,-1.7631435,-0.057321548,-1.8586671,-0.063575149,-1.8524135,-0.058710456,-1.8572782,0.026351571,-1.6488088,-0.006079435,-1.6163778,0.08944416,-1.7119014,0.08319056,-1.7056478,0.088055253,-1.7105125,-0.032431006,-1.6427294,0.063092589,-1.738253,0.056838989,-1.7319994,0.061703682,-1.7368641,0.095523596,-1.705822,0.089269996,-1.6995684,0.094134688,-1.7044331,-0.0062536,-1.795092,-0.001388907,-1.7999567,0.004864693,-1.7937031,0.015503876,
11/9/03,1.702,Google Flu,2.7260454,CDC,-1.0240453,-0.37565234,9-Nov-03,2003w45,45,1.7730401,1.3266053,1.2829636,1.0277305,-0.5240401,-0.11760533,1.0486689,1.0240453,1.7708563,-0.95518911,0.91238624,0.95518911,2.0779762,-0.64806914,0.41999361,0.64806914,1.9778776,-0.74816775,0.55975497,0.74816775,2.2200322,-0.50601315,0.25604931,0.50601315,2.1830292,-0.5430162,0.29486659,0.5430162,2.1370499,-0.58899546,0.34691566,0.58899546,2.1423638,-0.58368158,0.34068421,0.58368158,2.1508021,-0.57524323,0.33090478,0.57524323,1.7146457,-1.0113996,1.0229292,1.0113996,1.8204186,-0.90562677,0.82015985,0.90562677,-0.068856239,-1.9792345,-0.3759762,-1.6721145,-0.27587759,-1.7722131,-0.51803219,-1.5300585,-0.48102915,-1.5670615,-0.43504989,-1.6130408,-0.44036376,-1.6077269,-0.44880211,-1.5992886,-0.30711997,-1.6032583,-0.20702136,-1.7033569,-0.44917595,-1.4612023,-0.41217291,-1.4982053,-0.36619365,-1.5441846,-0.37150753,-1.5388707,-0.37994587,-1.5304323,0.10009861,-1.3962369,-0.14205599,-1.1540823,-0.10505295,-1.1910853,-0.059073687,-1.2370646,-0.06438756,-1.2317507,-0.072825909,-1.2233124,-0.2421546,-1.2541809,-0.20515156,-1.2911839,-0.1591723,-1.3371632,-0.16448617,-1.3318493,-0.17292452,-1.323411,0.03700304,-1.0490294,0.082982302,-1.0950086,0.077668428,-1.0896947,0.06923008,-1.0812564,0.045979261,-1.1320117,0.040665388,-1.1266978,0.032227039,-1.1182594,-0.005313873,-1.172677,-0.013752222,-1.1642387,-0.008438349,-1.1589248,0.032945737,
11/16/03,2.148,Google Flu,3.7319221,CDC,-1.5839221,-0.4244253,16-Nov-03,2003w46,46,2.4381361,1.7730401,1.3266053,1.2829636,-1.0641361,-0.5240401,2.5088093,1.5839221,2.3377712,-1.394151,1.9436569,1.394151,2.8824561,-0.84946609,0.72159261,0.84946609,2.5748105,-1.1571116,1.3389074,1.1571116,2.9145327,-0.81738949,0.66812557,0.81738949,2.9222307,-0.80969143,0.65560019,0.80969143,3.0008581,-0.73106408,0.5344547,0.73106408,3.0067782,-0.72514391,0.52583367,0.72514391,3.0151551,-0.71676707,0.51375502,0.71676707,2.3447359,-1.3871863,1.9242858,1.3871863,2.5251651,-1.2067571,1.4562626,1.2067571,-0.18977118,-2.9780731,-0.73445606,-2.4333882,-0.4268105,-2.7410338,-0.76653266,-2.4013116,-0.77423072,-2.3936136,-0.85285807,-2.3149862,-0.85877824,-2.3090661,-0.86715508,-2.3006892,-0.54468489,-2.2436171,-0.23703933,-2.5512626,-0.57676148,-2.2115405,-0.58445954,-2.2038424,-0.66308689,-2.1252151,-0.66900706,-2.1192949,-0.6773839,-2.110918,0.30764556,-2.0065777,-0.032076597,-1.6668556,-0.039774656,-1.6591575,-0.118402,-1.5805302,-0.12432218,-1.57461,-0.13269901,-1.5662332,-0.33972216,-1.9745011,-0.34742022,-1.9668031,-0.42604756,-1.8881757,-0.43196774,-1.8822556,-0.44034457,-1.8738787,-0.007698059,-1.6270809,-0.086325407,-1.5484536,-0.092245579,-1.5425334,-0.10062242,-1.5341566,-0.078627348,-1.5407555,-0.08454752,-1.5348353,-0.092924356,-1.5264585,-0.005920172,-1.456208,-0.014297009,-1.4478312,-0.008376837,-1.441911,0.017441861,
11/23/03,2.9679999,Google Flu,4.5489373,CDC,-1.5809374,-0.34753993,23-Nov-03,2003w47,47,2.7260454,2.4381361,1.7730401,1.3266053,-1.0240453,-1.0641361,2.4993629,1.5809374,2.5831792,-1.9657581,3.8642049,1.9657581,3.6680231,-0.88091421,0.77600986,0.88091421,3.0672693,-1.481668,2.1953402,1.481668,3.1685457,-1.3803916,1.905481,1.3803916,3.2212775,-1.3276598,1.7626806,1.3276598,3.97471,-0.57422733,0.32973704,0.57422733,3.9681151,-0.58082223,0.33735445,0.58082223,3.9559476,-0.59298968,0.35163677,0.59298968,3.1550858,-1.3938515,1.9428221,1.3938515,3.8710628,-0.67787457,0.45951393,0.67787457,0.3848207,-3.5466955,-0.70002317,-2.4618516,-0.09926939,-3.0626054,-0.20054579,-2.961329,-0.25327754,-2.9085972,-1.0067101,-2.1551647,-1.0001152,-2.1617596,-0.9879477,-2.1739271,-1.0848439,-2.8466723,-0.48409009,-3.4474261,-0.58536649,-3.3461497,-0.63809824,-3.2934179,-1.3915308,-2.5399854,-1.3849359,-2.5465803,-1.3727684,-2.5587478,0.60075378,-2.3625822,0.49947739,-2.2613058,0.44674563,-2.2085741,-0.30668688,-1.4551415,-0.30009198,-1.4617364,-0.28792453,-1.4739039,-0.1012764,-2.8620596,-0.15400815,-2.8093278,-0.90744066,-2.0558953,-0.90084577,-2.0624902,-0.88867831,-2.0746577,-0.052731752,-2.7080514,-0.80616426,-1.9546189,-0.79956937,-1.9612138,-0.78740191,-1.9733813,-0.75343251,-1.9018872,-0.74683762,-1.9084821,-0.73467016,-1.9206495,0.006594896,-1.1550496,0.01876235,-1.167217,0.012167454,-1.1738119,0.031007752,
11/30/03,3.5239999,Google Flu,5.3990641,CDC,-1.8750641,-0.3472943,30-Nov-03,2003w48,48,3.7319221,2.7260454,2.4381361,1.7730401,-1.5839221,-1.0240453,3.5158656,1.8750641,3.4405689,-1.9584951,3.8357031,1.9584951,4.5947733,-0.80429077,0.64688367,0.80429077,3.7972195,-1.6018445,2.565906,1.6018445,4.347405,-1.0516591,1.1059868,1.0516591,4.288641,-1.1104231,1.2330394,1.1104231,4.7425518,-0.65651226,0.43100834,0.65651226,4.7450104,-0.65405369,0.42778623,0.65405369,4.7517481,-0.64731598,0.41901797,0.64731598,3.1624591,-2.2366049,5.0024018,2.2366049,4.297647,-1.1014171,1.2131195,1.1014171,0.083431005,-3.8335593,-1.0707734,-2.6793549,-0.27321959,-3.4769087,-0.82340503,-2.9267232,-0.76464105,-2.9854872,-1.2185519,-2.5315764,-1.2210104,-2.5291178,-1.2277482,-2.5223801,-1.1542044,-2.7627859,-0.35665059,-3.5603397,-0.90683603,-3.0101542,-0.84807205,-3.0689182,-1.3019829,-2.6150074,-1.3044415,-2.6125488,-1.3111792,-2.6058111,0.79755378,-2.4061353,0.24736834,-1.8559499,0.30613232,-1.9147139,-0.14777851,-1.460803,-0.15023708,-1.4583445,-0.15697479,-1.4516068,-0.55018544,-2.6535037,-0.49142146,-2.7122676,-0.94533229,-2.2583568,-0.94779086,-2.2558982,-0.95452857,-2.2491605,0.058763981,-2.1620822,-0.39514685,-1.7081714,-0.39760542,-1.7057128,-0.40434313,-1.6989751,-0.45391083,-1.7669353,-0.4563694,-1.7644768,-0.46310711,-1.7577391,-0.002458572,-1.3105659,-0.009196281,-1.3038282,-0.006737709,-1.3013697,0.025193799,
