"","type","modelnum","variable","value"
"65317","LOBD","0Raw","MBE",7.39638607730823
"65318","LOBD","0Raw","MBE",8.01296668925247
"65319","LOBD","0Raw","MBE",6.61651803364165
"65320","LOBD","0Raw","MBE",5.54292240426106
"65321","LOBD","0Raw","MBE",3.94027616752272
"65322","LOBD","0Raw","MBE",2.71745110909678
"65323","LOBD","0Raw","MBE",4.18241787829971
"65324","LOBD","0Raw","MBE",2.47664372899892
"65325","LOBD","0Raw","MBE",3.39803965344523
"65326","LOBD","0Raw","MBE",7.95291123475571
"65327","LOBD","0Raw","MBE",3.07102683711706
"65328","LOBD","0Raw","MBE",3.24467921519752
"65329","LOBD","0Raw","MBE",5.23673241676662
"65330","LOBD","0Raw","MBE",5.62573789122458
"65331","LOBD","0Raw","MBE",7.29042309914053
"65332","LOBD","0Raw","MBE",6.87160113074238
"65333","LOBD","0Raw","MBE",6.92143150466071
"65334","LOBD","0Raw","MBE",4.18670610356029
"65335","LOBD","0Raw","MBE",2.77946296772241
"65336","LOBD","0Raw","MBE",3.36473527452351
"65337","LOBD","0Raw","MBE",3.17376578137959
"65338","LOBD","0Raw","MBE",4.5176151283159
"65339","LOBD","0Raw","MBE",3.18279618596269
"65340","LOBD","0Raw","MBE",3.86706138873536
"65341","LOBD","0Raw","MBE",2.20348244307762
"65342","LOBD","0Raw","MBE",5.57790936339085
"65343","LOBD","0Raw","MBE",6.96739720760267
"65344","LOBD","0Raw","MBE",7.37574743585042
"65345","LOBD","0Raw","MBE",8.06305460299513
"65346","LOBD","0Raw","MBE",6.88953126128607
"65347","LOBD","0Raw","MBE",6.01815934675677
"65348","LOBD","0Raw","MBE",4.46408013095811
"65349","LOBD","0Raw","MBE",3.31881515645409
"65350","LOBD","0Raw","MBE",4.53009276756418
"65351","LOBD","0Raw","MBE",2.96782262408312
"65352","LOBD","0Raw","MBE",3.81569100421543
"65353","LOBD","0Raw","MBE",7.9857758965255
"65354","LOBD","0Raw","MBE",3.60395021507724
"65355","LOBD","0Raw","MBE",3.75872567811094
"65356","LOBD","0Raw","MBE",5.48117980847286
"65357","LOBD","0Raw","MBE",5.7879316110754
"65358","LOBD","0Raw","MBE",7.36040944212304
